"APPLICATION #",FORM_NUMBER,FILE_DATE,STATUS_DATE,STATUS,STATUS_CODE,EXPIRATION_DATE,"ESTIMATED COST","REVISED COST","EXISTING USE","EXISTING UNITS","PROPOSED USE","PROPOSED UNITS",PLANSETS,15_DAY_HOLD?,"EXISTING STORIES","PROPOSED STORIES","ASSESSOR STORIES","VOLUNTARY SOFT-STORY RETROFIT","NO OF PAGES",BLOCK,LOT,STREET_NUMBER,STREET_NUMBER_SFX,AVS_STREET_NAME,AVS_STREET_SFX,UNIT,UNIT_SFX,FIRST_NAME,LAST_NAME,CONTRACTORPHONE,COMPANY_NAME,STREET_NUMBER,STREET,STREET_SUFFIX,CITY,STATE,ZIP_CODE,CONTACT_NAME,CONTACT_PHONE,DESCRIPTION,
#201003299153,3,2010/03/29,2017/03/14,ISSUED,9,2019/03/14,400000,1149010.2,APARTMENTS,11,APARTMENTS,11,2,Y,4,5,3,,24,576,11,1856,,PACIFIC,AV,0,,ROMAN,KNOP,4155165180,"ROMKON INC",261,17TH,AV,"SAN FRANCISCO",CA,94121-0000,,,"INTERIOR MODIFICATIONS TO (E) 4TH FLOOR REAR UNIT & CONSTRUCTION OF NEW 5TH FLOOR TO CREATE A 2 LEVEL PENTHOUSE UNIT. MODIFICATIONS TO (E) BLDG ELEVATION AT PACIFIC AVE. TO COMPLY WITH HIS NOVS# 200561975  200447279 & 200454985.",
#201012217123,3,2010/12/21,2017/03/30,ISSUED,9,2018/03/30,79500,130000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,,3,3,3,,57,600,2,2007,,FRANKLIN,ST,0,,STEVEN,OLIVER,5104129090,"OLIVER & COMPANY INC",1300,"SOUTH 51ST",ST,RICHMOND,CA,94804,,,"BARRIER REMOVAL. PROVIDE RAMP UP TO SIDE ENTRY DOOR. EXPAND & REMODEL GROUND FLOOR RESTROOM INTO ACCESSIBLE UNISEX RESTROOM.STRIPE TOP & BOTTOM TREAD OF INTERIOR STAIRS & EXTERIOR STAIRS. ADD HANDRAIL TO FRONT ENTRANCE STEPS.",
#201207316100,3,2012/07/31,2017/03/21,ISSUED,9,2019/03/21,500000,660000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,1,2,1,,19,4035,22,357,,ARKANSAS,ST,,,TIM,LEMMA,2082431290,"LEMMA CONSTRUCTION  INC.",,"P.O. BOX 7726",,"MENLO PARK",CA,94026-0000,,,"VERTICAL ADDITION. SECOND STORY ADDITION TO AN (E) ONE STORY RESIDENCE  W/GARAGE BELOW  INCLUDING THE RENOVATION OF THE FINISHED BASEMENT & 1ST FLR. THE ADDITION OF A MASTER BEDROOM SUITE AT THE 2ND STORY  AND A NEW ROOF DECK. ALL SIDING & WINDOWS TO BE REPLACED W/WOOD SIDING & WOOD WINDOWS.",
#201310028257,3,2013/10/02,2017/03/17,ISSUED,9,2018/03/17,131000,150000,"TOURIST HOTEL/MOTEL",135,"TOURIST HOTEL/MOTEL",135,2,,7,7,7,,49,351,1,1100,,MARKET,ST,,,"RON J",KUNKEL,5107959999,"SIGNAWEST SYSTEMS INC",7300,"CENTRAL AVE #D",,NEWARK,CA,94560-0000,,,"PROVIDE Automatic FIRE ALARM SYSTEM W/VOICE EVAC AND CONTROL OF STAIR PRESSURIZATION FAN. TENANT IMPROVEMENT. REF APP #201305106635.",
#201310088785,1,2013/10/08,2017/03/14,ISSUED,9,2019/03/14,950000,1130000,,,APARTMENTS,5,2,,,4,0,,145,3730,96,34,,LANGTON,ST,,,PATRICK,KIELY,4154073469,"PK CONSTRUCTION INC",15,PORTOLA,AV,"SAN RAFAEL",CA,94903-0000,,,"TO ERECT 4 STORIES  NO BASEMENT  5 UNITS APARTMENT  TYPE V-A BUILDING.",
#201311273023,3,2013/11/27,2017/03/13,ISSUED,9,2018/03/13,178000,178000,"1 FAMILY DWELLING",1,"1 FAMILY DWELLING",1,2,Y,3,3,2,,15,5661,3,220,,GATES,ST,,,"REMY  J",SIJBRANT,6506524566,"REMY'S QUALITY CONSTRUCTION INC.",912,"S.  AMPHLETT BLVD",,"SAN MATEO",CA,94402-0000,,,"CONVERSION INTO (E) LOWER FLOOR LIVING AREA TO BECOME LIVING ROOM  UTILITY AND BATH  ENLARGE MAIN FLOOR TO CREATE NOOK AREA  ADD UPPER FLOOR AREA TO INCLUDE BATH AND ENLARGE BEDROOM 2 AND THE CLOSET ADD UPPER FLOOR REAR DECK",
#201312174396,2,2013/12/17,2017/03/13,ISSUED,9,2019/03/13,600000,807346,,,"1 FAMILY DWELLING",1,2,,,3,0,,62,3640,79,3040,,24TH,ST,,,OWNER,,,OWNER,,OWNER,,OWNER,CA,00000-0000,,,"TO ERECT 3-STORIES  NO BASEMENT  MIXED-USE NEW BUILDING.",
#201406269542,1,2014/06/26,2017/03/24,ISSUED,9,2021/09/24,6000000,6000000,,,APARTMENTS,53,2,,,6,1,,39,3519,63,1335,,FOLSOM,ST,,,HAMID,ALAGHEMAND,4159220200,"AREA DEVELOPMENT INC.",120,"W 3RD AVE #1007",,"SAN MATEO",CA,94402-0000,,,"TO ERECT 6 STORIES  NO BASEMENT  53 DWELLING UNITS (SRO) RESIDENTIAL BUILDING INCLUDE GROUND FLOOR LEVEL COMMERCIAL. MAHER COMPLIANCE WITH ORDINANCE 155-13 REQUIRED. INTERIM CONTROLS.",
#201406269542,1,2014/06/26,2017/03/24,ISSUED,9,2021/09/24,6000000,6000000,,,APARTMENTS,53,2,,,6,1,,39,3519,64,1335,,FOLSOM,ST,,,HAMID,ALAGHEMAND,4159220200,"AREA DEVELOPMENT INC.",120,"W 3RD AVE #1007",,"SAN MATEO",CA,94402-0000,,,"TO ERECT 6 STORIES  NO BASEMENT  53 DWELLING UNITS (SRO) RESIDENTIAL BUILDING INCLUDE GROUND FLOOR LEVEL COMMERCIAL. MAHER COMPLIANCE WITH ORDINANCE 155-13 REQUIRED. INTERIM CONTROLS.",
#201410038058,6,2014/10/03,2017/03/14,ISSUED,9,2017/07/21,1000,5000,"STORAGE SHED",,,,0,,1,,0,,0,3730,96,34,,LANGTON,ST,,,PATRICK,KIELY,4154073469,"PK CONSTRUCTION INC",15,PORTOLA,AV,"SAN RAFAEL",CA,94903-0000,,,"DEMOLISH 1-STORY  TYPE 5  STORAGE SHED.",
